Species	Status	min_age	max_age
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Chiroptera	extant	0.781	2.588
Rhinolophus_grivensis	extant	4.2	4.9
Myotis	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
Plecotus_auritus	extant	0.0117	2.588
Rhinolophus_ferrumequinum	extant	0.0117	2.588
Rhinolophus_euryale	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
Chiroptera	extant	0.0117	2.588
Chiroptera	extant	0.126	0.781
Chiroptera	extant	2.588	23.03
Chiroptera	extant	0.0117	2.588
Myotis	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Chiroptera	extant	0.126	0.781
Myotis	extant	0.0117	2.588
Rhinolophus	extant	0.0117	2.588
Miniopterus	extant	0.0117	2.588
Myotis	extant	0.0117	2.588
Rhinolophus	extant	0.0117	2.588
Miniopterus	extant	0.0117	2.588
Myotis	extant	0.781	2.588
Rhinolophus_euryale	extant	0.781	2.588
Rhinolophus	extant	0.781	2.588
Miniopterus	extant	0.781	2.588
Rhinolophus	extant	5.333	11.608
Myotis_boyeri	extinct	5.333	11.608
Myotis	extant	5.333	11.608
Miniopterus_fossilis	extinct	5.333	11.608
Tadarida	extant	5.333	11.608
Rhinolophus_ferrumequinum	extant	0.0117	5.333
Chiroptera	extant	5.333	8.7
Chiroptera	extant	2.588	5.333
Chiroptera	extant	2.588	3.2
Chiroptera	extant	0.0117	5.333
Vespertilionidae	extant	5.333	11.608
Chiroptera	extant	2.588	3.2
Myotis	extant	2.588	3.2
Myotis	extant	2.588	3.2
Myotis	extant	2.588	3.2
Myotis	extant	2.588	3.2
Vespertilio	extant	2.588	3.2
Eptesicus_praeglacialis	extant	2.588	3.2
Rhinolophus_ferrumequinum	extant	2.588	3.2
Rhinolophus_ferrumequinum	extant	2.588	3.2
Rhinolophus_euryale	extant	2.588	3.2
Myotis	extant	2.588	3.2
Myotis	extant	2.588	3.2
