"Eptesicus fuscus","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Lasiurus borealis","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Lasiurus borealis","0.126","0.0117"
"Myotis grisescens","0.126","0.0117"
"Eptesicus fuscus","2.588","0.0117"
"Pipistrellus subflavus","2.588","0.0117"
"Lasiurus borealis","2.588","0.0117"
"Tadarida brasiliensis","2.588","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Pipistrellus subflavus","2.588","0.0117"
"Lasiurus borealis","2.588","0.0117"
"Myotis leibi","2.588","0.0117"
"Eptesicus fuscus","2.588","0.0117"
"Pipistrellus subflavus","2.588","0.0117"
"Desmodus stocki","0.126","0.0117"
"Eptesicus fuscus","1.8","0.3"
"Pipistrellus subflavus","1.8","0.3"
"Plecotus alleganiensis","1.8","0.3"
"Desmodus stocki","0.126","0.0117"
"Rhinolophus yongyuthi","15.97","11.608"
"Hipposideros felix","15.97","11.608"
"Rhizomops mengraii","15.97","11.608"
"Notonycteris magdalenensis","13.8","11.8"
"Dizzya exsultans","56","41.3"
"Noctilio lacrimaelunaris","9","6.8"
"Kiotomops lopezi","13.8","11.8"
"Eptesicus fuscus","0.0117","0"
"Tadarida brasiliensis","0.0117","0"
"Noctilio albiventris","16.3","15.5"
"Notonycteris magdalenensis","16.3","15.5"
"Thyroptera robusta","16.3","15.5"
"Potamops mascahehenes","13.8","11.8"
"Notonycteris magdalenensis","13.8","11.8"
"Notonycteris sucharadeus","13.8","11.8"
"Notonycteris sucharadeus","16.3","15.5"
"Palynephyllum antimaster","16.3","15.5"
"Thyroptera lavali","16.3","15.5"
"Desmodus archaeodaptes","1.8","0.3"
"Desmodus draculae","2.588","0.781"
"Chrotopterus auritus","2.588","0"
"Myotis austroriparius","0.126","0.0117"
"Eptesicus fuscus","0.126","0.0117"
"Nycticeius humeralis","0.126","0.0117"
"Myotis austroriparius","0.126","0.0117"
"Myotis grisescens","0.126","0.0117"
"Lasiurus intermedius","0.126","0.0117"
"Pipistrellus subflavus","0.126","0.0117"
"Antrozous pallidus","0.126","0.0117"
"Dhofarella thaleri","33.9","28.4"
"Chibanycteris herberti","33.9","28.4"
"Hipposideros omani","33.9","28.4"
"Rhinolophus euryale","5.333","2.588"
"Eptesicus campanensis","11.1","9.7"
"Miostrellus risgoviensis","11.1","9.7"
"Mystacina miocenalis","19","15.9"
"Mystacina miocenalis","19","15.9"
"Australonycteris clarkae","56","47.8"
"Vampyravus orientalis","33.9","28.1"
"Mormopterus barrancae","21","17.5"
