"360294","occ","","","34127","Myotis","genus","40678","Pleistocene","","2.588","0.0117","8650"
"360295","occ","","","34127","Myotis","genus","40678","Pleistocene","","2.588","0.0117","8650"
"360296","occ","","","34127","Myotis","genus","40678","Pleistocene","","2.588","0.0117","8650"
"360297","occ","","","34127","Myotis","genus","40678","Pleistocene","","2.588","0.0117","8650"
"360357","occ","","","34128","Myotis","genus","40678","Pleistocene","","2.588","0.0117","8987"
"368277","occ","","","34842","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9314"
"368541","occ","","","34870","Myotis","genus","40678","Pleistocene","","2.588","0.0117","9346"
"368542","occ","","","34870","Rhinolophus","genus","40646","Pleistocene","","2.588","0.0117","9346"
"368543","occ","","","34870","Miniopterus","genus","40676","Pleistocene","","2.588","0.0117","9346"
"368635","occ","","","34872","Myotis","genus","40678","Pleistocene","","2.588","0.0117","9346"
"368636","occ","","","34872","Rhinolophus","genus","40646","Pleistocene","","2.588","0.0117","9346"
"368637","occ","","","34872","Miniopterus","genus","40676","Pleistocene","","2.588","0.0117","9346"
"369033","occ","","","34911","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9372"
"369035","occ","","","34911","Rhinolophus","genus","40646","Early Pleistocene","","2.588","0.781","9372"
"369036","occ","","","34911","Miniopterus","genus","40676","Early Pleistocene","","2.588","0.781","9372"
"370320","occ","","","26752","Rhinolophus","genus","40646","Late Miocene","","11.608","5.333","9426"
"370322","occ","","","26752","Myotis","genus","40678","Late Miocene","","11.608","5.333","9426"
"370324","occ","","","26752","Tadarida","genus","40691","Late Miocene","","11.608","5.333","9426"
"374135","occ","","","35369","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374136","occ","","","35369","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374137","occ","","","35369","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374138","occ","","","35369","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374139","occ","","","35369","Vespertilio","genus","40692","Villanyian","","3.2","2.588","9534"
"374199","occ","","","35370","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374200","occ","","","35370","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374201","occ","","","35370","Myotis","genus","40678","Villanyian","","3.2","2.588","9534"
"374202","occ","","","35370","Plecotus","genus","40684","Villanyian","","3.2","2.588","9534"
"375124","occ","","","35431","Rhinolophus","genus","40646","Early Pleistocene","","2.588","0.781","9534"
"375125","occ","","","35431","Plecotus","genus","40684","Early Pleistocene","","2.588","0.781","9534"
"375126","occ","","","35431","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375127","occ","","","35431","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375128","occ","","","35431","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375129","occ","","","35431","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375130","occ","","","35431","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375131","occ","","","35431","Miniopterus","genus","40676","Early Pleistocene","","2.588","0.781","9534"
"375475","occ","","","35442","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375476","occ","","","35442","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375477","occ","","","35442","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375681","occ","","","35459","Myotis","genus","40678","Early Pleistocene","","2.588","0.781","9534"
"375966","occ","","","35472","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"375967","occ","","","35472","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"375968","occ","","","35472","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"375969","occ","","","35472","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"375970","occ","","","35472","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"375971","occ","","","35472","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"375972","occ","","","35472","Eptesicus","genus","40671","Middle Pleistocene","","0.781","0.126","9534"
"375973","occ","","","35472","Barbastella","genus","40667","Middle Pleistocene","","0.781","0.126","9534"
"376063","occ","","","35476","Rhinolophus","genus","40646","Middle Pleistocene","","0.781","0.126","9534"
"376064","occ","","","35476","Rhinolophus","genus","40646","Middle Pleistocene","","0.781","0.126","9534"
"376065","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376066","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376067","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376068","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376069","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376070","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376071","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
"376072","occ","","","35476","Myotis","genus","40678","Middle Pleistocene","","0.781","0.126","9534"
