Genus,Species
Myotis,rufopictus
Myotis,schaubi
Myotis,scotti
Myotis,septentrionalis
Myotis,sicarius
Myotis,siligorensis
Myotis,simus
Myotis,sodalis
Myotis,stalkeri
Myotis,thysanodes
Myotis,tricolor
Myotis,velifer
Myotis,vivesi
Myotis,volans
Myotis,welwitschii
Myotis,yanbarensis
Myotis,yumanensis
Mystacina,robusta
Mystacina,tuberculata
Myzopoda,aurita
Myzopoda,schliemanni
Nanonycteris,veldkampii
Natalus,espiritosantensis
Natalus,jamaicensis
Natalus,major
Natalus,mexicanus
Natalus,primus
Natalus,stramineus
Natalus,tumidirostris
Neonycteris,pusilla
Neopteryx,frosti
Neoromicia,brunnea
Neoromicia,capensis
Neoromicia,flavescens
Neoromicia,guineensis
Neoromicia,helios
Neoromicia,malagasyensis
Neoromicia,matroka
Neoromicia,melckorum
Neoromicia,nana
Neoromicia,rendalli
Neoromicia,somalica
Neoromicia,tenuipinnis
Neoromicia,zuluensis
Noctilio,albiventris
Noctilio,leporinus
Notopteris,macdonaldi
Notopteris,neocaledonica
Nyctalus,aviator
Nyctalus,azoreum
Nyctalus,furvus
Nyctalus,lasiopterus
Nyctalus,leisleri
Nyctalus,montanus
Nyctalus,noctula
Nyctalus,plancyi
Nycteris,arge
Nycteris,aurita
Nycteris,gambiensis
Nycteris,grandis
Nycteris,hispida
Nycteris,intermedia
Nycteris,javanica
Nycteris,macrotis
Nycteris,madagascariensis
Nycteris,major
Nycteris,nana
Nycteris,parisii
Nycteris,thebaica
Nycteris,tragata
Nycteris,vinsoni
Nycteris,woodi
Nycticeinops,schlieffeni
Nycticeius,aenobarbus
Nycticeius,cubanus
Nycticeius,humeralis
Nyctiellus,lepidus
Nyctimene,aello
Nyctimene,albiventer
Nyctimene,cephalotes
Nyctimene,certans
Nyctimene,cyclotis
Nyctimene,draconilla
Nyctimene,keasti
Nyctimene,major
Nyctimene,malaitensis
Nyctimene,masalai
Nyctimene,minutus
Nyctimene,rabori
Nyctimene,robinsoni
Nyctimene,sanctacrucis
Nyctimene,vizcaccia
Nyctinomops,aurispinosus
Nyctinomops,femorosaccus
Nyctinomops,laticaudatus
Nyctinomops,macrotis
Nyctophilus,arnhemensis
Nyctophilus,bifax
Nyctophilus,geoffroyi
Nyctophilus,gouldi
Nyctophilus,heran
Nyctophilus,howensis
Nyctophilus,microdon
Nyctophilus,microtis
Nyctophilus,nebulosus
Nyctophilus,sherrini
Nyctophilus,walkeri
Otomops,formosus
Otomops,johnstonei
Otomops,madagascariensis
Otomops,martiensseni
Otomops,papuensis
Otomops,secundus
Otomops,wroughtoni
Otonycteris,hemprichii
Otopteropus,cartilagonodus
Paranyctimene,raptor
Paranyctimene,tenax
Paratriaenops,auritus
Paratriaenops,furculus
Paremballonura,atrata
Paremballonura,tiavato
Penthetor,lucasi
Peropteryx,kappleri
Peropteryx,leucoptera
Peropteryx,macrotis
Peropteryx,pallidoptera
Peropteryx,trinitatis
Pharotis,imogene
Philetor,brachypterus
Phoniscus,aerosa
Phoniscus,atrox
Phoniscus,jagorii
Phoniscus,papuensis
Phylloderma,stenops
Phyllonycteris,aphylla
Phyllonycteris,poeyi
Phyllops,falcatus
Phyllostomus,discolor
Phyllostomus,elongatus
Phyllostomus,hastatus
Phyllostomus,latifolius
Pipistrellus,abramus
Pipistrellus,adamsi
Pipistrellus,aero
Pipistrellus,alaschanicus
Pipistrellus,anchietae
Pipistrellus,angulatus
Pipistrellus,arabicus
Pipistrellus,ariel
Pipistrellus,cadornae
Pipistrellus,ceylonicus
Pipistrellus,collinus
Pipistrellus,coromandra
Pipistrellus,crassulus
Pipistrellus,eisentrauti
Pipistrellus,endoi
Pipistrellus,hanaki
Pipistrellus,hesperidus
Pipistrellus,hesperus
Pipistrellus,imbricatus
Pipistrellus,inexspectatus
Pipistrellus,javanicus
Pipistrellus,kuhlii
Pipistrellus,maderensis
Pipistrellus,minahassae
Pipistrellus,murrayi
Pipistrellus,musciculus
Pipistrellus,nanulus
Pipistrellus,nathusii
Pipistrellus,papuanus
Pipistrellus,paterculus
Pipistrellus,permixtus
Pipistrellus,pipistrellus
Pipistrellus,pulveratus
Pipistrellus,pygmaeus
Pipistrellus,raceyi
Pipistrellus,rueppellii
Pipistrellus,rusticus
Pipistrellus,stenopterus
Pipistrellus,sturdeei
Pipistrellus,subflavus
Pipistrellus,tenuis
Pipistrellus,wattsi
Pipistrellus,westralis
Platalina,genovensium
Platymops,setiger
Platyrrhinus,albericoi
Platyrrhinus,aquilus
Platyrrhinus,aurarius
Platyrrhinus,brachycephalus
Platyrrhinus,chocoensis
Platyrrhinus,dorsalis
Platyrrhinus,helleri
Platyrrhinus,infuscus
Platyrrhinus,ismaeli
Platyrrhinus,lineatus
Platyrrhinus,masu
Platyrrhinus,matapalensis
Platyrrhinus,nigellus
Platyrrhinus,nitelinea
Platyrrhinus,recifinus
Platyrrhinus,umbratus
Platyrrhinus,vittatus
Plecotus,auritus
Plecotus,austriacus
Plecotus,balensis
Plecotus,christii
Plecotus,kolombatovici
Plecotus,macrobullaris
Plecotus,ognevi
Plecotus,sacrimontis
Plecotus,sardus
Plecotus,taivanus
Plecotus,teneriffae
Plerotes,anchietae
Promops,centralis
Promops,davisoni
Promops,nasutus
Ptenochirus,jagori
Ptenochirus,minor
Pteralopex,anceps
Pteralopex,atrata
Pteralopex,flanneryi
Pteralopex,pulchra
Pteralopex,taki
Pteronotus,davyi
Pteronotus,gymnonotus
Pteronotus,macleayii
Pteronotus,mesoamericanus
Pteronotus,paraguanensis
Pteronotus,parnellii
Pteronotus,personatus
Pteronotus,quadridens
Pteronotus,rubiginosus
Pteropus,admiralitatum
Pteropus,aldabrensis
Pteropus,alecto
Pteropus,anetianus
Pteropus,aruensis
Pteropus,brunneus
Pteropus,caniceps
Pteropus,capistratus
Pteropus,chrysoproctus
Pteropus,cognatus
Pteropus,conspicillatus
Pteropus,dasymallus
Pteropus,faunulus
Pteropus,fundatus
Pteropus,giganteus
Pteropus,gilliardorum
Pteropus,griseus
Pteropus,howensis
Pteropus,hypomelanus
Pteropus,intermedius
Pteropus,keyensis
Pteropus,leucopterus
Pteropus,livingstonii
Pteropus,lombocensis
Pteropus,loochoensis
Pteropus,lylei
Pteropus,macrotis
Pteropus,mahaganus
Pteropus,mariannus
Pteropus,melanopogon
Pteropus,melanotus
Pteropus,molossinus
Pteropus,neohibernicus
Pteropus,niger
Pteropus,nitendiensis
Pteropus,ocularis
Pteropus,ornatus
Pteropus,pelewensis
Pteropus,personatus
Pteropus,pilosus
Pteropus,pohlei
Pteropus,poliocephalus
Pteropus,pselaphon
Pteropus,pumilus
Pteropus,rayneri
Pteropus,rennelli
Pteropus,rodricensis
Pteropus,rufus
Pteropus,samoensis
Pteropus,scapulatus
Pteropus,seychellensis
Pteropus,speciosus
Pteropus,subniger
Pteropus,temminckii
Pteropus,tokudae
Pteropus,tonganus
Pteropus,tuberculatus
Pteropus,ualanus
Pteropus,vampyrus
Pteropus,vetulus
Pteropus,voeltzkowi
Pteropus,woodfordi
Pygoderma,bilabiatum
Rhinolophus,acuminatus
Rhinolophus,adami
Rhinolophus,affinis
Rhinolophus,alcyone
Rhinolophus,arcuatus
Rhinolophus,beddomei
Rhinolophus,blasii
Rhinolophus,bocharicus
Rhinolophus,borneensis
