"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"198305","occ","","","20444","Myotis velifer","species","52649","Irvingtonian","","1.8","0.3","1298"
"198314","occ","","","20445","Myotis thysanodes","species","48918","Irvingtonian","","1.8","0.3","1298"
"198353","occ","","","20454","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2725"
"198452","occ","","","20477","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","1022"
"198580","occ","","","20491","Desmodus stocki","species","45613","Rancholabrean","","0.3","0.012","3580"
"198581","occ","","","20491","Myotis austroriparius","species","52635","Rancholabrean","","0.3","0.012","3580"
"198582","occ","","","20491","Lasiurus borealis","species","52636","Rancholabrean","","0.3","0.012","3580"
"198583","occ","","","20491","Lasiurus intermedius","species","47494","Rancholabrean","","0.3","0.012","3580"
"198584","occ","","","20491","Tadarida brasiliensis","species","49249","Rancholabrean","","0.3","0.012","3580"
"198659","occ","","","20495","Chiroptera","order","40622","Rancholabrean","","0.3","0.012","19165"
"198770","occ","","","20506","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2940"
"198817","occ","","","20514","Chiroptera","order","40622","Irvingtonian","","1.8","0.3","2940"
"198939","occ","","","20530","Lasiurus","genus","40675","Irvingtonian","","1.8","0.3","1304"
"199032","occ","","","20554","Pipistrellus subflavus","species","52648","Irvingtonian","","1.8","0.3","6221"
"199033","occ","","","20554","Eptesicus fuscus","species","52640","Irvingtonian","","1.8","0.3","6221"
"199034","occ","","","20554","Plecotus","genus","40684","Irvingtonian","","1.8","0.3","6221"
"199260","occ","","","20572","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3567"
"199283","occ","","","20573","Desmodus stocki","species","45613","Late Pleistocene","","0.126","0.0117","3580"
"199284","occ","","","20573","Myotis austroriparius","species","52635","Late Pleistocene","","0.126","0.0117","3580"
"199285","occ","","","20573","Lasiurus intermedius","species","47494","Late Pleistocene","","0.126","0.0117","3580"
