"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=chiroptera"
"Access Time","Thu 2017-02-16 07:22:10 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","chiroptera"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0726"
"Records Found","1220"
"Records Returned","1220"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"186190","occ","","","18275","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Barstovian","","15.97","13.6","3510"
"186271","occ","","","18284","cf. Antrozous sp.","genus","40665","","Antrozous","genus","40665","Barstovian","","15.97","13.6","3510"
"186601","occ","","","18324","Myotis sp.","genus","40678","","Myotis","genus","40678","Clarendonian","","13.6","10.3","1297"
"186641","occ","","","18327","Lasiurus sp.","genus","40675","","Lasiurus","genus","40675","Late Clarendonian","","13.6","10.3","1297"
"187209","occ","","","18442","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Barstovian","","15.97","13.6","3510"
"187348","occ","","","18450","Myotis sp.","genus","40678","","Myotis","genus","40678","Clarendonian","","13.6","10.3","3676"
"187428","occ","","","18463","Myotis cf. yumanensis","species","48921","","Myotis yumanensis","species","52651","Clarendonian","","13.6","10.3","1317"
"187429","occ","","","18463","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Clarendonian","","13.6","10.3","1317"
"187685","occ","","","18512","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Late Hemingfordian","","20.43","15.97","2614"
"187868","occ","","","18554","Microchiroptera indet.","suborder","40627","","Microchiroptera","suborder","40627","Late Clarendonian","","13.6","10.3","3581"
"187933","occ","","","18560","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Hemphillian","","10.3","4.9","2367"
"188085","occ","","","18579","Vespertilionidae indet.","family","40663","","Vespertilionidae","family","40663","Early Hemingfordian","","20.43","15.97","1446"
"188169","occ","","","18597","n. gen. Suaptenos n. sp. whitei","species","136038","","Suaptenos whitei","species","136038","Hemingfordian","","20.43","15.97","28489"
"188170","occ","","","18597","n. gen. Miomyotis n. sp. floridanus","species","136040","","Miomyotis floridanus","species","136040","Hemingfordian","","20.43","15.97","28489"
"188171","occ","","","18597","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Hemingfordian","","20.43","15.97","2690"
"188361","occ","","","18621","Antrozous sp.","genus","40665","","Antrozous","genus","40665","Miocene","","23.03","5.333","3030"
"188638","occ","","","18666","Antrozous sp.","genus","40665","","Antrozous","genus","40665","Miocene","","23.03","5.333","3030"
"188912","occ","","","18755","Plionycteris russelli","species","40685","species not entered","Plionycteris","genus","40685","Late Hemphillian","","10.3","4.9","2249"
"189185","occ","","","18803","Ancenycteris rasmusseni","species","40664","species not entered","Ancenycteris","genus","40664","Early Barstovian","","15.97","13.6","3342"
"189360","occ","","","18831","Vespertilionidae ? indet.","family","40663","","Vespertilionidae","family","40663","Clarendonian","","13.6","10.3","3118"
"189881","occ","","","18944","Vespertilionidae ? indet.","family","40663","","Vespertilionidae","family","40663","Hemphillian","","10.3","4.9","3118"
"190008","occ","","","18970","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Hemphillian","","10.3","4.9","3109"
"190235","occ","","","19015","cf. Myotis sp.","genus","40678","","Myotis","genus","40678","Hemphillian","","10.3","4.9","1547"
"190543","occ","","","19074","Chiroptera indet.","order","40622","","Chiroptera","order","40622","Hemingfordian","","20.43","15.97","2634"
