"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Pipistrellus sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Pipistrellus sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Holocene"
"cf. Myotis sp.","Holocene"
"Tadarida sp.","Holocene"
"Leptonycteris curasoae","Holocene"
"Paleptesicus cf. noctuloides","MN 11"
"cf. Paleptesicus noctuloides","MN 10"
"Paleptesicus cf. noctuloides","MN 10"
"Paleptesicus cf. noctuloides","MN 9"
"Paleptesicus noctuloides","MN 9"
"cf. Myotis sp.","MN 10"
"cf. Myotis sp.","MN 10"
"cf. Myotis sp.","MN 9"
"cf. Myotis sp.","MN 11"
"Plecotus sp.","MN 11"
"Rhinolophus ? hildebrandti","Middle Pleistocene"
"Hipposideros ? commersoni","Middle Pleistocene"
"Miniopterus schreibersi","Middle Pleistocene"
"Miniopterus schreibersi","Middle Pleistocene"
"Miniopterus schreibersi","Middle Pleistocene"
"Myotis sp.","Early Pleistocene"
"Murina cf. aurata","Early Pleistocene"
"Hipposideros sp.","Early Pleistocene"
"Hassianycteris joeli","Ypresian"
"cf. Eptesicus sp.","MN 15"
"Macroderma sp.","Late Miocene"
"Rhinolophus sp.","Early Miocene"
"""Myotis"" sp.","Geringian"
"Myotis sp.","Late Pleistocene"
"Tadarida sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Mormoops megalophylla","Late Pleistocene"
"Lonchophylla mordax","Late Pleistocene"
"Eptesicus brasiliensis","Late Pleistocene"
"Eptesicus sp.","Late Pleistocene"
"Mormoops megalophyla","Holocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis aff. annectans","Early Pliocene"
"Myotis cf. horsfieldii","Early Pliocene"
"Myotis sp.","Early Pliocene"
"Vespertilio cf. sinensis","Early Pliocene"
"Murina sp.","Early Pliocene"
"Plecotus sp.","Late Pleistocene"
"Tadarida macrotis","Late Pleistocene"
"Plecotus sp.","Late Pleistocene"
"Scotophilus n. sp. sp.","Middle Miocene"
"Macrotus waterhousii","Late Pleistocene"
"Artibeus anthonyi","Late Pleistocene"
"Brachyphylla nana","Late Pleistocene"
"Myotis sp.","Irvingtonian"
"Myotis sp.","Late Pleistocene"
"Eptesicus sp.","Messinian"
"Myotis sp.","Late Pleistocene"
"Pipistrellus sp.","Late Pleistocene"
"Taphozous incognita","MN 2"
"Rhinonycteris tedfordi","Early Miocene"
"Brachipposideros ? watsoni","Early Miocene"
"Macroderma cf. godthelpi","Early Miocene"
"Brachipposideros cf. nooraleebus","Early Miocene"
"Brachipposideros sp.","Early Miocene"
"cf. Ageina sp.","Ypresian"
"Pteropus rufus","Holocene"
"Rousettus madagascariensis","Holocene"
"Eidolon dupreanum","Holocene"
"Rousettus madagascariensis","Holocene"
"Hipposideros commersoni","Holocene"
"Triaenops furculus","Holocene"
"Miniopterus gleni","Holocene"
"Mormopterus jugularis","Holocene"
"Mops leucostigma","Holocene"
"Megaderma lyra","Late Pleistocene"
"Hipposideros pratti","Late Pleistocene"
"Hipposideros armiger","Late Pleistocene"
"Rhinolophus pearsoni","Late Pleistocene"
"Rhinolophus macrotis","Late Pleistocene"
"Rhinolophus cornutus","Late Pleistocene"
"Murina leucogaster","Late Pleistocene"
"Myotis formosus","Late Pleistocene"
"Myotis daubentoni","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Tylonycteris pachypus","Late Pleistocene"
"Miniopterus schreibersi","Late Pleistocene"
"Scotomanes emarginatus","Late Pleistocene"
"Pipistrellus coromandra","Late Pleistocene"
"Artibeus anthonyi","Late Pleistocene"
"Brachyphylla nana","Late Pleistocene"
"Macrotus waterhousei","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"Myotis sp.","Late Pleistocene"
"cf. Myotis sp.","Late Pleistocene"
"Tadarida mexicana","Holocene"
"Brachyphylla cavernarum","Holocene"
"Natalus stramineus","Holocene"
"Molossus molossus","Holocene"
"Mormoops blainvillei","Holocene"
"Nyctophilus cf. geoffroyi","Pleistocene"
"Myotis sp.","Late Pleistocene"
"Murina silvatica","Late Pleistocene"
"Myotis spp.","Late Pleistocene"
